  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:46:33	 -15.000	   88.30	 1011.93	   22.17	  720.24	   1.194	    8.16	  133.54	  178.61	  146.90	   99.88	   70.12	   43.25	   34.46	   13.63	    9.79	   -3.22	   -9.19	  -17.96	  -27.04	  -25.91	  -30.51	  -28.84	  -29.85	  -32.61	  -33.03	  -34.38	  -35.29	  -32.29	  -36.80	  -77.19	    8.79	  -85.31	  -84.53	  -85.01	  -85.85	  -86.42	  -86.22	  -87.12	  -87.71	  -88.23	  -88.89	  -89.65	  -90.82	  -91.10	  -92.06	  -92.84	  -93.73	  -94.22	  -94.81	  -95.63	  -95.62	  -95.62	  -94.96	  -77.19	  188.92	  189.46	  189.44	  188.04	  188.61	  187.79	  186.19	  179.96	  170.80	  158.20	  144.32	  135.17	  128.70	  119.47	  111.48	  104.10	   96.92	   91.01	   87.41	   84.15	   80.80	   79.96	   82.28	   84.71	   88.75	   94.42	  100.50	  108.59	  116.63	  126.15	  133.86	  146.05	  154.59	  158.68	  168.67	  174.88	  178.83	  181.59	  185.89	  189.94	  188.33	  190.05	  189.88	  187.72	  189.07	  190.46	  188.61	  189.50	   12.61	   -2.91	   -7.03	  -11.16	  -12.11	  -12.75	  -13.46	   -9.39	   -1.78	    5.94	   11.76	    2.97	    1.48	    0.09	    0.02	    0.02
       2	 12:46:47	 -14.000	   88.38	 1011.93	   22.17	  720.23	   1.194	   16.82	  137.02	  178.06	  143.85	   96.06	   66.09	   39.41	   30.75	   11.94	    5.72	   -5.44	  -11.28	  -19.13	  -28.20	  -26.34	  -30.73	  -28.64	  -29.69	  -31.65	  -31.18	  -32.92	  -33.04	  -29.89	  -33.64	  -74.04	   16.12	  -83.87	  -83.29	  -83.89	  -85.42	  -85.31	  -85.46	  -86.31	  -87.00	  -87.62	  -88.49	  -89.52	  -90.71	  -91.27	  -92.25	  -93.10	  -93.87	  -94.27	  -94.72	  -95.33	  -95.15	  -94.88	  -93.67	  -74.04	  189.62	  190.21	  190.15	  188.91	  189.44	  188.85	  188.00	  182.99	  175.91	  165.12	  150.78	  141.50	  136.09	  127.61	  120.11	  113.86	  106.94	  101.45	   97.85	   93.96	   89.41	   87.35	   87.74	   88.88	   91.84	   97.92	  104.06	  111.49	  120.17	  129.02	  136.14	  146.91	  151.63	  160.35	  169.31	  176.55	  180.47	  183.06	  187.43	  191.21	  189.42	  190.80	  190.66	  188.44	  189.76	  191.18	  189.06	  190.17	   12.26	   -2.71	   -6.28	   -9.23	  -10.34	  -10.25	  -11.82	   -6.05	    1.28	    7.99	   12.43	    2.13	    1.41	    0.06	   -0.00	   -0.01
       3	 12:47:01	 -13.000	   88.50	 1011.91	   22.18	  719.80	   1.194	   22.69	  137.30	  177.06	  140.53	   90.66	   61.05	   35.84	   27.04	   10.98	    3.35	   -6.51	  -12.25	  -20.12	  -28.93	  -25.96	  -29.61	  -27.02	  -28.05	  -29.26	  -28.95	  -30.01	  -29.44	  -25.59	  -28.84	  -65.81	   22.66	  -82.87	  -82.82	  -83.70	  -85.51	  -85.78	  -86.08	  -87.25	  -88.30	  -89.28	  -90.20	  -91.15	  -92.54	  -93.05	  -94.09	  -94.69	  -94.89	  -94.61	  -94.40	  -94.56	  -93.61	  -92.39	  -90.01	  -65.81	  189.50	  190.01	  189.92	  188.84	  189.48	  189.24	  189.26	  186.94	  184.84	  179.61	  171.74	  165.47	  161.83	  154.84	  148.87	  143.60	  136.01	  130.72	  126.18	  121.92	  118.29	  113.69	  112.73	  109.57	  108.23	  108.67	  110.22	  113.76	  118.43	  123.65	  129.43	  138.21	  146.68	  152.09	  162.58	  170.88	  176.18	  180.43	  186.01	  190.72	  189.16	  190.93	  190.77	  188.52	  189.91	  191.40	  189.35	  190.47	   12.47	   -3.93	   -6.63	   -9.76	  -10.14	   -7.92	  -10.21	   -3.34	    3.93	    9.25	   12.61	   -0.42	    1.38	    0.06	    0.00	    0.02
       4	 12:47:14	 -12.000	   89.97	 1011.94	   22.18	  719.92	   1.194	   20.07	  138.41	  177.47	  138.69	   88.69	   58.43	   32.85	   26.02	   10.42	    2.06	   -6.75	  -13.31	  -20.38	  -27.76	  -25.06	  -28.87	  -24.66	  -25.73	  -25.32	  -25.13	  -25.96	  -24.06	  -20.54	  -22.63	  -57.85	   19.36	  -93.57	  -93.08	  -94.72	  -96.38	  -96.58	  -96.49	  -98.03	  -99.01	  -99.69	 -100.29	 -101.01	 -101.53	 -100.69	  -99.95	  -98.83	  -98.12	  -96.78	  -95.41	  -93.68	  -90.93	  -88.29	  -85.17	  -57.85	  190.53	  191.04	  191.10	  190.21	  190.61	  190.58	  190.79	  189.42	  187.89	  183.42	  177.29	  172.17	  169.55	  163.78	  158.55	  153.43	  145.53	  140.20	  135.24	  130.28	  125.79	  120.36	  118.86	  115.46	  113.60	  113.34	  113.27	  116.16	  119.21	  123.63	  129.38	  138.36	  147.02	  151.13	  163.47	  171.53	  177.40	  181.67	  187.43	  192.12	  190.06	  191.36	  191.24	  189.11	  190.18	  191.72	  190.00	  190.90	   12.00	   -2.68	   -6.17	   -8.08	   -8.03	   -6.72	   -8.07	   -2.25	    4.41	    9.11	   12.09	    0.73	    1.34	    0.07	    0.00	    0.02
       5	 12:47:23	 -11.000	   89.76	 1012.00	   22.18	  720.16	   1.194	   13.65	  135.97	  176.31	  136.14	   85.89	   56.23	   31.01	   24.55	    9.15	    1.78	   -6.59	  -11.63	  -18.45	  -25.40	  -22.40	  -25.70	  -21.30	  -21.41	  -20.55	  -19.41	  -18.76	  -16.64	  -13.02	  -13.66	  -43.21	   12.79	 -107.20	 -106.72	 -108.71	 -109.76	 -111.65	 -112.30	 -113.75	 -115.31	 -116.24	 -116.65	 -115.65	 -114.64	 -111.91	 -109.23	 -105.92	 -101.88	  -97.35	  -92.98	  -88.20	  -82.89	  -77.60	  -71.51	  -43.21	  189.43	  189.97	  189.83	  188.82	  189.36	  188.74	  188.88	  186.13	  183.75	  177.94	  171.54	  166.65	  164.20	  158.54	  153.76	  149.36	  143.65	  139.53	  135.60	  131.61	  128.34	  124.16	  123.69	  121.41	  120.83	  120.45	  121.06	  124.25	  127.71	  132.92	  138.66	  147.31	  157.23	  161.14	  170.76	  177.44	  181.92	  184.51	  187.86	  191.45	  189.27	  190.87	  190.45	  188.30	  189.70	  191.07	  189.21	  190.21	   12.14	   -1.99	   -4.76	   -6.83	   -6.76	   -5.13	   -7.04	   -0.64	    5.58	    9.84	   12.29	    0.86	    1.56	    0.06	   -0.00	    0.02
       6	 12:47:32	 -10.000	   89.75	 1012.01	   22.18	  720.12	   1.194	   -5.45	  138.18	  177.12	  135.64	   85.14	   54.35	   30.04	   22.63	    9.82	    2.11	   -5.98	  -10.53	  -15.89	  -22.38	  -18.76	  -21.56	  -16.51	  -16.13	  -14.46	  -12.62	  -10.53	   -7.83	   -4.04	   -2.71	  -23.11	   -4.68	 -140.66	 -141.38	 -143.76	 -144.24	 -144.64	 -142.67	 -142.47	 -141.02	 -137.47	 -133.06	 -127.89	 -121.70	 -113.70	 -106.42	  -98.47	  -90.43	  -81.45	  -72.98	  -65.66	  -58.27	  -51.28	  -45.20	  -23.11	  189.99	  190.53	  190.43	  189.46	  189.88	  189.68	  189.66	  187.28	  185.07	  180.07	  174.16	  169.17	  166.09	  159.76	  154.32	  149.50	  142.66	  138.35	  134.15	  129.76	  126.39	  122.26	  121.99	  120.43	  121.99	  124.38	  126.77	  131.57	  137.08	  143.57	  149.86	  159.09	  168.27	  170.68	  180.77	  185.50	  187.52	  188.97	  189.95	  192.15	  189.86	  191.35	  191.02	  188.82	  190.16	  191.63	  189.81	  190.59	   12.02	    1.17	   -1.58	   -3.41	   -4.05	   -2.26	   -3.89	    1.64	    7.09	   10.69	   12.27	    3.23	    1.97	    0.07	    0.00	   -0.01
       7	 12:47:40	  -9.000	   89.70	 1011.89	   22.18	  720.12	   1.194	  -12.93	  142.03	  175.36	  132.99	   82.97	   51.11	   27.58	   21.23	    8.32	    0.68	   -6.23	  -10.20	  -16.38	  -20.55	  -16.81	  -19.44	  -13.31	  -12.49	  -10.22	   -7.46	   -4.56	   -1.76	    2.68	    4.71	   -4.84	  -12.22	 -159.82	 -159.15	 -161.72	 -165.18	 -165.55	 -162.47	 -159.12	 -155.74	 -149.13	 -139.97	 -129.68	 -118.94	 -105.87	  -93.48	  -81.66	  -70.80	  -60.28	  -51.27	  -42.86	  -34.81	  -27.78	  -21.71	   -4.84	  189.13	  189.68	  189.58	  188.50	  189.36	  189.14	  189.78	  188.31	  187.29	  183.28	  177.95	  172.83	  169.70	  164.36	  159.54	  154.13	  146.96	  141.67	  137.46	  133.06	  129.19	  124.54	  124.45	  123.87	  125.24	  127.87	  131.51	  137.54	  144.08	  151.60	  158.49	  168.58	  174.32	  181.92	  184.74	  187.95	  188.11	  188.19	  188.08	  190.31	  187.99	  189.41	  189.06	  187.01	  188.34	  189.64	  187.84	  188.58	   11.24	    3.97	    2.26	   -0.15	   -0.63	    0.44	   -0.75	    3.81	    8.56	   10.98	   11.57	    4.86	    1.36	    0.11	    0.03	    0.05
       8	 12:47:47	  -8.369	   87.80	 1011.93	   22.19	  719.71	   1.194	  -17.37	  134.00	  173.95	  131.58	   80.29	   49.98	   25.49	   19.54	    6.76	   -0.13	   -6.41	  -10.26	  -16.22	  -20.93	  -16.37	  -18.58	  -13.49	  -11.93	  -10.16	   -7.29	   -3.82	   -0.87	    3.57	    5.92	   -1.95	  -16.63	 -168.01	 -169.68	 -172.66	 -176.10	 -174.60	 -169.24	 -163.51	 -156.19	 -145.93	 -133.61	 -120.81	 -108.40	  -94.96	  -82.54	  -71.40	  -61.33	  -51.54	  -42.76	  -35.42	  -28.32	  -22.36	  -16.84	   -1.95	  187.97	  188.49	  188.49	  187.20	  187.97	  187.91	  188.36	  186.71	  185.94	  182.68	  178.73	  174.37	  171.97	  167.07	  162.49	  157.66	  150.71	  145.59	  140.88	  135.59	  130.82	  125.89	  124.78	  123.23	  123.96	  126.95	  130.86	  137.74	  144.41	  153.47	  160.89	  171.44	  182.81	  178.38	  188.42	  190.07	  189.29	  189.14	  188.94	  191.06	  188.69	  190.34	  189.80	  187.76	  189.16	  190.49	  188.73	  189.62	   10.76	    6.26	    5.22	    3.17	    1.72	    2.44	    1.15	    5.84	    9.53	   10.80	   11.08	    6.18	    1.35	    0.06	    0.01	    0.02
       9	 12:47:58	  -7.000	   89.96	 1012.06	   22.19	  720.33	   1.194	  -68.94	  134.83	  174.54	  128.50	   75.67	   44.95	   21.08	   15.54	    2.20	   -3.57	   -7.84	  -13.47	  -17.35	  -21.21	  -15.86	  -16.86	  -10.85	   -8.87	   -5.34	   -1.23	    2.40	    5.72	    9.99	   11.84	   13.63	  -67.10	 -267.43	 -272.73	 -280.84	 -261.15	 -210.08	 -162.51	 -126.84	 -102.43	  -85.45	  -73.42	  -63.68	  -56.24	  -48.96	  -42.61	  -36.78	  -31.25	  -25.63	  -20.27	  -14.91	   -9.11	   -3.45	    1.51	   13.63	  188.29	  188.91	  188.83	  187.54	  188.48	  188.41	  189.23	  188.15	  188.76	  188.01	  187.65	  186.36	  187.11	  185.56	  184.85	  184.77	  181.01	  178.54	  175.60	  169.75	  160.87	  151.41	  144.49	  137.10	  132.49	  132.54	  136.30	  147.38	  160.12	  173.97	  181.06	  187.15	  188.26	  186.60	  187.84	  188.56	  187.62	  187.23	  186.97	  189.14	  186.86	  188.52	  187.77	  185.96	  187.05	  188.54	  186.65	  187.52	   10.18	    7.63	    8.37	    8.30	    7.97	    7.78	    7.49	    8.95	   10.36	   10.33	   10.46	    6.89	    1.27	    0.08	   -0.00	    0.02
